adresse,Date mutation,Valeur fonciere,Code_postal,Commune,Surface reelle bati,Surface terrain,Nombre pieces principales,Code commune,Type local,Valeur foncière au mètre carré,search,longitude,latitude,result_score
1 PL ANATOLE FRANCE,18/09/2024,262200.0,93310,LE PRE-SAINT-GERVAIS,43.0,0.0,2.0,61,Appartement,6097.674418604651,1 PL ANATOLE FRANCE 93310 LE PRE-SAINT-GERVAIS,2.402976,48.883542,0.8605328942486085
1 PL BERAULT,01/02/2024,145830.0,94300,VINCENNES,16.0,0.0,1.0,80,Appartement,9114.375,1 PL BERAULT 94300 VINCENNES,2.428315,48.845847,0.817399706744868
1 PL CAMILLE COROT,07/05/2024,280000.0,95430,AUVERS-SUR-OISE,98.0,405.0,5.0,39,Maison,2857.1428571428573,1 PL CAMILLE COROT 95430 AUVERS-SUR-OISE,2.166085,49.075739,0.8489826638477801
1 PL CARNOT,15/06/2024,170000.0,95340,PERSAN,59.0,0.0,3.0,487,Appartement,2881.35593220339,1 PL CARNOT 95340 PERSAN,2.268799,49.153567,0.7887061952861951
1 PL CENDRILLON,07/02/2024,208000.0,78280,GUYANCOURT,61.0,0.0,3.0,297,Appartement,3409.8360655737706,1 PL CENDRILLON 78280 GUYANCOURT,2.075154,48.774,0.7795681818181819
1 PL CENDRILLON,15/11/2024,170000.0,78280,GUYANCOURT,39.0,0.0,2.0,297,Appartement,4358.974358974359,1 PL CENDRILLON 78280 GUYANCOURT,2.075154,48.774,0.7795681818181819
1 PL CHARLOTTE,16/10/2024,378000.0,77150,LESIGNY,208.0,909.0,10.0,249,Maison,1817.3076923076924,1 PL CHARLOTTE 77150 LESIGNY,2.606514,48.741724,0.8071769794721407
1 PL CLAUDE MONET,08/11/2024,626300.0,78530,BUC,105.0,455.0,5.0,117,Maison,5964.761904761905,1 PL CLAUDE MONET 78530 BUC,2.111379,48.770449,0.8033212121212121
1 PL CONSTANT GALLOT,30/12/2024,140000.0,77510,VILLENEUVE-SUR-BELLOT,107.0,118.0,4.0,512,Appartement,1308.411214953271,1 PL CONSTANT GALLOT 77510 VILLENEUVE-SUR-BELLOT,3.341604,48.862668,0.8610388948306594
1 PL CORNEILLE,09/07/2024,280000.0,92100,BOULOGNE-BILLANCOURT,67.0,0.0,2.0,12,Appartement,4179.104477611941,1 PL CORNEILLE 92100 BOULOGNE-BILLANCOURT,2.248822,48.829774,0.865254214876033
1 PL CORNEILLE,20/02/2024,299250.0,92100,BOULOGNE-BILLANCOURT,40.0,0.0,1.0,12,Appartement,7481.25,1 PL CORNEILLE 92100 BOULOGNE-BILLANCOURT,2.248822,48.829774,0.865254214876033
1 PL D ORION,22/10/2024,177000.0,92360,MEUDON,44.0,0.0,2.0,48,Appartement,4022.7272727272725,1 PL D ORION 92360 MEUDON,2.225669,48.786889,0.8010987012987012
1 PL DE BABEL,06/05/2024,330000.0,91130,RIS-ORANGIS,73.0,0.0,2.0,521,Appartement,4520.54794520548,1 PL DE BABEL 91130 RIS-ORANGIS,2.415898,48.659729,0.8223028877005346
1 PL DE BAESWEILER,25/09/2024,421650.0,78360,MONTESSON,76.0,0.0,3.0,418,Appartement,5548.026315789473,1 PL DE BAESWEILER 78360 MONTESSON,2.149808,48.908931,0.8279862407862407
1 PL DE BELGIQUE,10/10/2024,395000.0,92400,COURBEVOIE,50.0,0.0,2.0,26,Appartement,7900.0,1 PL DE BELGIQUE 92400 COURBEVOIE,2.267956,48.90329,0.8365764646464646
1 PL DE BRETEUIL,14/03/2024,233000.0,75007,PARIS,20.0,0.0,2.0,107,Appartement,11650.0,1 PL DE BRETEUIL 75007 PARIS,2.31225,48.847707,0.8159360703812316
1 PL DE CHEVREUSE,09/10/2024,174000.0,91090,LISSES,83.0,0.0,4.0,340,Appartement,2096.385542168675,1 PL DE CHEVREUSE 91090 LISSES,2.417591,48.612577,0.8117834986225895
1 PL DE GASCOGNE,19/12/2024,234000.0,78310,MAUREPAS,95.0,110.0,5.0,383,Maison,2463.157894736842,1 PL DE GASCOGNE 78310 MAUREPAS,1.93848,48.759611,0.8311683422459891
1 PL DE L AUDITORIUM,06/11/2024,241475.0,92350,LE PLESSIS-ROBINSON,68.0,0.0,3.0,60,Appartement,3551.1029411764707,1 PL DE L AUDITORIUM 92350 LE PLESSIS-ROBINSON,2.270772,48.781029,0.8661656215213357
